vendor,wf_sharpe,naive_sharpe,selection_cost,config_switches,modal_config,modal_config_frac,n_folds,wf_sharpe_per_fold,seed,true_ic,kind,rank
vendor_08,0.40516832133469266,0.8979797932583008,0.49281147192360814,3,smooth1_top50,0.4,5,0.799;0.732;-2.192;2.022;1.156,13,0.0,fake,7
vendor_11,0.3101939887676443,0.3207210204266902,0.010527031659045893,0,smooth20_top25,1.0,5,0.740;0.275;1.474;0.043;-1.124,13,0.0,fake,8
vendor_06,0.29644298412295883,0.45348839378615524,0.1570454096631964,1,smooth20_top25,0.8,5,-0.793;1.052;0.370;0.865;-0.147,13,0.0,fake,9
vendor_09,0.24781985436159032,0.3323895322158014,0.0845696778542111,1,smooth1_all,0.6,5,-0.741;3.736;0.143;-0.756;-0.227,13,0.0,fake,10
vendor_07,-0.5331675044852723,-0.1694651819632575,0.3637023225220148,3,smooth5_top25,0.4,5,1.467;-0.046;-2.591;-0.390;-0.788,13,0.0,fake,11
vendor_05,-0.6006189594086848,0.44420989477352946,1.0448288541822142,3,smooth1_top50,0.4,5,-1.272;-0.144;-0.243;-1.599;0.544,13,0.0,fake,12
vendor_00,1.0229924464462097,1.1569499128360308,0.1339574663898211,1,smooth1_top50,0.8,5,-1.475;0.853;3.834;0.741;1.387,14,0.05,REAL,1
vendor_01,1.0229924464462097,1.1569499128360308,0.1339574663898211,1,smooth1_top50,0.8,5,-1.475;0.853;3.834;0.741;1.387,14,0.04,REAL,2
vendor_09,0.885767995280071,1.1638228159848079,0.27805482070473686,0,smooth1_top25,1.0,5,2.188;0.597;1.054;0.898;-0.359,14,0.0,fake,3
vendor_04,0.8282410895914479,1.086728524876195,0.25848743528474716,2,smooth20_all,0.4,5,0.048;0.583;1.646;0.516;0.945,14,0.01,REAL,4
vendor_08,0.6703281847615101,0.6684045721635035,-0.0019236125980066632,1,smooth20_top25,0.6,5,2.517;-0.271;0.067;0.461;0.731,14,0.0,fake,5
vendor_02,0.6086807807800869,0.7272940473106924,0.11861326653060544,1,smooth5_top50,0.8,5,-2.964;0.166;4.008;0.788;0.555,14,0.03,REAL,6
vendor_10,0.2797037861854283,0.9377983308280166,0.6580945446425883,3,smooth1_top50,0.4,5,0.827;-0.174;0.170;0.893;-0.258,14,0.0,fake,7
vendor_03,0.17320443337273983,0.5103799959126479,0.3371755625399081,3,smooth5_top25,0.4,5,-1.150;0.215;1.399;-1.526;2.171,14,0.025,REAL,8
vendor_06,0.006504672710168421,0.4201958607885413,0.4136911880783729,2,smooth20_top50,0.8,5,-0.968;3.242;-0.714;-0.223;-0.933,14,0.0,fake,9
vendor_11,-0.08112161154518367,0.5180128136115117,0.5991344251566955,2,smooth20_top50,0.6,5,0.030;-0.910;-0.111;-0.176;1.024,14,0.0,fake,10
vendor_07,-0.5051968060198327,0.49134505768637576,0.9965418637062085,3,smooth20_top50,0.4,5,-3.834;0.968;0.911;0.635;-0.902,14,0.0,fake,11
